Name,LongName,Unit,ShortName,,Use
ADP,,,,,
ADP-Fossils,,,,,
ADP-Minerals- Total,Depletion of Minerals,kg-Sb-eq,adp-min,,ADP-Minerals- Total
ADP-Minerals-Base Metals,,,,,
ADP-Minerals-Iron and Ferro-Alloys,,,,,
ADP-Minerals-Other,,,,,
ADP-Minerals-PGM,,,,,
ADP-Minerals-Precious Metals,,,,,
ADP-Minerals-REE,,,,,
CED - biomass,,,,,
CED - fossil,,,,,
CED - geothermal,,,,,
CED - nuclear,,,,,
CED - primary forest,,,,,
CED - solar,,,,,
CED - total,Primary Energy,MJ-eq,ced,,CED - total
CED - water,,,,,
CED - wind,,,,,
CExD - biomass,,,,,
CExD - fossil,,,,,
CExD - metals,,,,,
CExD - minerals,Mineral Exergy,MJ-eq,cexd-min,,CExD - minerals
CExD - nuclear,,,,,
CExD - primary forest,,,,,
CExD - solar,,,,,
CExD - total,Primary Exergy,MJ-eq,cexd-min,,
CExD - water,,,,,
CExD - water resources,,,,,
CExD - wind,,,,,
CML-acidification potential (average European),,,,,
CML-climate change (GWP 100a),Greenhouse Emissions,kg CO2-eq,co2,,CML-climate change (GWP 100a)
CML-eutrophication potential (average European),,,,,
CML-eutrophication potential (generic),,,,,
CML-human toxicity (HTP 100a),Toxicity,"kg 1,4-DCB-Eq",tox,,CML-human toxicity (HTP 100a)
CML-resources (depletion of abiotic resources),,,,,
CML-resources (depletion of abiotic resources)-minerals,,,,,
CML-terrestrial ecotoxicity (TAETP 100a),,,,,
EcoIndicator 99 (E - E) - resources (fossil fuels),,,,,
EcoIndicator 99 (E - E) - resources (mineral extraction),,,,,
EcoIndicator 99 (E - E) - resources (total),,,,,
EcoIndicator 99 (E - E) - total,EcoIndicator Total,pts,ecoindicator,,
EcoScarcity2013 - energy resources,,,,,
EcoScarcity2013 - global warming,,,,,
EcoScarcity2013 - mineral resources,,,,,
EcoScarcity2013 - total,EcoScarcity Total,pts,ecoscarcity,,EcoScarcity2013 - total
EDIP- Total Minerals,Total Minerals,kg,edip,,
EDIP- Total Minerals-Base Metals,,,,,
EDIP- Total Minerals-Copper,,,,,
EDIP- Total Minerals-Iron and Ferro-Alloys,,,,,
EDIP- Total Minerals-Other,,,,,
EDIP- Total Minerals-PGM,,,,,
EDIP- Total Minerals-Precious Metals,,,,,
EDIP- Total Minerals-REE,,,,,
EDIP-Aluminum,,,,,
EDIP-Antimony,,,,,
EDIP-Barium,,,,,
EDIP-Beryllium,,,,,
EDIP-Bismuth,,,,,
EDIP-Boron,,,,,
EDIP-Bromine,,,,,
EDIP-Cadmium,,,,,
EDIP-Calcium,,,,,
EDIP-Cerium,,,,,
EDIP-Chromium,,,,,
EDIP-Cobalt,,,,,
EDIP-Copper,,,,,
EDIP-Dysprosium,,,,,
EDIP-Erbium,,,,,
EDIP-Europium,,,,,
EDIP-Fluorine,,,,,
EDIP-Gadolinium,,,,,
EDIP-Gallium,,,,,
EDIP-Gold,,,,,
EDIP-Holmium,,,,,
EDIP-Indium,,,,,
EDIP-Iodine,,,,,
EDIP-Iridium,,,,,
EDIP-Iron,,,,,
EDIP-Lanthanum,,,,,
EDIP-Lead,,,,,
EDIP-Lithium,,,,,
EDIP-Magnesium,,,,,
EDIP-Manganese,,,,,
EDIP-Molybdenum,,,,,
EDIP-Neodymium,,,,,
EDIP-Nickel,,,,,
EDIP-Niobium,,,,,
EDIP-Palladium,,,,,
EDIP-Phosphorus,,,,,
EDIP-Platinum,,,,,
EDIP-Praseodymium,,,,,
EDIP-Rhenium,,,,,
EDIP-Rhodium,,,,,
EDIP-Samarium,,,,,
EDIP-Scandium,,,,,
EDIP-Silicon,,,,,
EDIP-Silver,,,,,
EDIP-Sodium,,,,,
EDIP-Sulfur,,,,,
EDIP-Tantalum,,,,,
EDIP-Tellurium,,,,,
EDIP-Terbium,,,,,
EDIP-Thallium,,,,,
EDIP-Thulium,,,,,
EDIP-Tin,,,,,
EDIP-Titanium,,,,,
EDIP-Uranium,,,,,
EDIP-Vanadium,,,,,
EDIP-Ytterbium,,,,,
EDIP-Yttrium,,,,,
EDIP-Zinc,,,,,
EDIP-Zirconium,,,,,
EI,,,,,
EI-Fossils,,,,,
EI-Minerals- Total,Minerals Economic Importance,kgSb-eq,ei,,EI-Minerals- Total
EI-Minerals-Base Metals,,,,,
EI-Minerals-Iron and Ferro-Alloys,,,,,
EI-Minerals-Other,,,,,
EI-Minerals-PGM,,,,,
EI-Minerals-Precious Metals,,,,,
EI-Minerals-REE,,,,,
GPR,,,,,
GPR-Fossils,,,,,
GPR-Minerals- Total,Geo-Political Supply Risk,1,gpr,,GPR-Minerals- Total
GPR-Minerals-Base Metals,,,,,
GPR-Minerals-Iron and Ferro-Alloys,,,,,
GPR-Minerals-Other,,,,,
GPR-Minerals-PGM,,,,,
GPR-Minerals-Precious Metals,,,,,
GPR-Minerals-REE,,,,,
ILCD 2.0 - climate change,,,,,
ILCD 2.0 - resources (minerals and metals),,,,,
ReCiPe Endpoint (E - A) - resources (fossil depletion),,,,,
ReCiPe Endpoint (E - A) - resources (metal depletion),,,,,
ReCiPe Endpoint (E - A) - resources (total),ReCiPe-Total Resources,pts,,,ReCiPe-Total Resources
ReCiPe Endpoint (E - A) - total (total),ReCiPe-Total,pts,,,ReCiPe-Total
ReCiPe Midpoint (E) - fossil depletion (FDP),,,,,
ReCiPe Midpoint (E) - metal depletion (MDP),,,,,
SR,,,,,
SR-Fossils,,,,,
SR-Minerals- Total,Minerals Supply Risk,kg-Sb-eq,sr,,SR-Minerals- Total
SR-Minerals-Base Metals,,,,,
SR-Minerals-Iron and Ferro-Alloys,,,,,
SR-Minerals-Other,,,,,
SR-Minerals-PGM,,,,,
SR-Minerals-Precious Metals,,,,,
SR-Minerals-REE,,,,,
,,,,,
7101:Aluminium,Aluminium,kg,Aluminium,,
7102:Cable,,,,,
7103:Copper,Copper,kg,Copper,,
7104:Iron,Iron,kg,Iron,,
7105:Lead,Lead,kg,Lead,,
7106:Lead Acid Baterry,,,,,
7107:Li-Ion Battery,,,,,
7108:Magnet,,,,,
7109:PCB-High,PCB-High,kg,PCB-High,,
7110:PCB-Low,PCB-Low,kg,PCB-Low,,
7111:PCB-Mid,PCB-Mid,kg,PCB-Mid,,
7112:Plastic,Plastic,kg,Plastic,,
7113:WEEE,WEEE,kg,WEEE,,
7114:Zinc,Zinc,kg,Zinc,,
7115:Cerium,Cerium,kg,Cerium,,
7116:Cobalt,Cobalt,kg,Cobalt,,
7117:Dysprosium,Dysprosium,kg,Dysprosium,,
7118:Erbium,Erbium,kg,Erbium,,
7119:Europium,Europium,kg,Europium,,
7120:Gadolinium,Gadolinium,kg,Gadolinium,,
7121:Germanium,Germanium,kg,Germanium,,
7122:Gold,Gold,kg,Gold,,
7123:Holmium,Holmium,kg,Holmium,,
7124:Indium,Indium,kg,Indium,,
7125:Lanthanum,Lanthanum,kg,Lanthanum,,
7126:Lithium,Lithium,kg,Lithium,,
7127:Lutetium,Lutetium,kg,Lutetium,,
7128:Neodymium,Neodymium,kg,Neodymium,,
7129:Palladium,Palladium,kg,Palladium,,
7130:Platinum,Platinum,kg,Platinum,,
7131:Praseodymium,Praseodymium,kg,Praseodymium,,
7132:Samarium,Samarium,kg,Samarium,,
7133:Silver,Silver,kg,Silver,,
7134:Terbium,Terbium,kg,Terbium,,
7135:Thulium,Thulium,kg,Thulium,,
7136:Ytterbium,Ytterbium,kg,Ytterbium,,
7137:Yttrium,Yttrium,kg,Yttrium,,
7138:Zirconium,Zirconium,kg,Zirconium,,
7139:3201:CD/DVD drive-Total,,,,,
"7140:3202:Computing device, for chiller-Total",,,,,
7141:3203:Control unit-Total,,,,,
"7142:3204:CPU, mounted mainboard-Total",,,,,
7143:3205:Expansion card-Total,,,,,
7144:3206:FDD-Total,,,,,
7145:3207:HDD PCB-Total,,,,,
7146:3208:Mainboard-Total,,,,,
7147:3209:PCB for power supply unit -Total,,,,,
"7148:3210:PCB for power supply unit, Pb free-Total",,,,,
7149:3211:PCB mounted mainboard-Total,,,,,
"7150:3212:PCB mounted mainboard, Pb free-Total",,,,,
"7151:3213:PCB mounted mainboard, portable -Total",,,,,
"7152:3214:PCB mounted mainboard, portable, Pb free -Total",,,,,
7153:3215:PCB surface mounted  -Total,,,,,
"7154:3216:PCB surface mounted,  Pb free -Total",,,,,
7155:3217:PCB through-hole mounted  -Total,,,,,
"7156:3218:PCB through-hole mounted,  Pb free-Total",,,,,
"7157:3219:PCB, for power supply unit -Total",,,,,
7158:3220:Power adapter-Total,,,,,
7159:3221:Screen-Total,,,,,
7160:3222:SD card-Total,,,,,
7161:3223:Small IT-Total,,,,,
7162:3224:Storage unit-Total,,,,,
7163:3225:HDD-Total,,,,,
"7164:3226:PCB, for trafo-Total",,,,,
"7165:3227:PCB, for UPS-Total",,,,,
"7166:3228:Cooling unit, for electronics-Total",,,,,
"7167:3229:Memory, for SDD-Total",,,,,
